State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Predicted Value
AK,2015,April,12 month-ending,Number of Drug Overdose Deaths,126,100,0,Alaska,126
AK,2015,August,12 month-ending,Number of Drug Overdose Deaths,124,100,0,Alaska,124
AK,2015,December,12 month-ending,Number of Drug Overdose Deaths,121,100,0,Alaska,121
AK,2015,February,12 month-ending,Number of Drug Overdose Deaths,127,100,0,Alaska,127
AK,2015,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0,Alaska,126
AK,2015,July,12 month-ending,Number of Drug Overdose Deaths,117,100,0,Alaska,117
AK,2015,June,12 month-ending,Number of Drug Overdose Deaths,121,100,0,Alaska,121
AK,2015,March,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,125
AK,2015,May,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,125
AK,2015,November,12 month-ending,Number of Drug Overdose Deaths,115,100,0,Alaska,115
AK,2015,October,12 month-ending,Number of Drug Overdose Deaths,120,100,0,Alaska,120
AK,2015,September,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,125
AK,2016,April,12 month-ending,Number of Drug Overdose Deaths,132,100,0,Alaska,132
AK,2016,August,12 month-ending,Number of Drug Overdose Deaths,138,100,0.023386342,Alaska,138
AK,2016,December,12 month-ending,Number of Drug Overdose Deaths,129,100,0.068886338,Alaska,130
AK,2016,February,12 month-ending,Number of Drug Overdose Deaths,128,100,0,Alaska,128
AK,2016,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0,Alaska,126
AK,2016,July,12 month-ending,Number of Drug Overdose Deaths,143,100,0,Alaska,143
AK,2016,June,12 month-ending,Number of Drug Overdose Deaths,138,100,0,Alaska,138
AK,2016,March,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,125
AK,2016,May,12 month-ending,Number of Drug Overdose Deaths,140,100,0,Alaska,140
AK,2016,November,12 month-ending,Number of Drug Overdose Deaths,133,100,0.069946374,Alaska,134
AK,2016,October,12 month-ending,Number of Drug Overdose Deaths,131,100,0.069913773,Alaska,132
AK,2016,September,12 month-ending,Number of Drug Overdose Deaths,131,100,0.046992481,Alaska,132
AK,2017,April,12 month-ending,Number of Drug Overdose Deaths,117,100,0.069364162,Alaska,118
